Team,Points
Chelsea,91	
Man United,83
Liverpool,82
Arsenal,67
Tottenham,65	
Blackburn,63
Newcastle,58	
Bolton Wanderers,56	
West Ham,55	
Wigan,51	
Everton,50
Fulham,48
Charlton,47
Middlesbrough,45
Man City,43
Aston Villa,42
Portsmouth,38
Birmingham,34	
West Brom,30
Sunderland,15
