,Team,Games,W,D,L,Points,Goals,Goals_Against,Shots,Shots_On_Target,League_Position
146,West Ham,38,16,14,8,62,65,51,556,184,7
147,Liverpool,38,16,12,10,60,63,50,629,203,8
148,Stoke,38,14,9,15,51,41,55,418,130,9
149,Chelsea,38,12,14,12,50,59,53,526,173,10
150,Everton,38,11,14,13,47,59,55,492,175,11
151,Swansea,38,12,11,15,47,42,52,442,136,12
152,Watford,38,12,9,17,45,40,50,445,136,13
153,West Brom,38,10,13,15,43,34,48,384,106,14
154,Bournemouth,38,11,9,18,42,45,67,463,144,15
155,Crystal Palace,38,11,9,18,42,39,51,466,152,16
156,Sunderland,38,9,12,17,39,48,62,439,143,17
157,Newcastle,38,9,10,19,37,44,65,398,152,18
158,Norwich,38,9,7,22,34,39,67,416,126,19
159,Aston Villa,38,3,8,27,17,27,76,368,111,20
160,Chelsea,38,30,3,5,93,85,33,580,204,1
161,Tottenham,38,26,8,4,86,86,26,669,257,2
162,Man City,38,23,9,6,78,80,39,633,217,3
163,Liverpool,38,22,10,6,76,78,42,638,236,4
164,Arsenal,38,23,6,9,75,77,44,565,200,5
165,Man United,38,18,15,5,69,54,29,589,210,6
166,Everton,38,17,10,11,61,62,44,498,192,7
167,Southampton,38,12,10,16,46,41,48,548,179,8
168,Bournemouth,38,12,10,16,46,55,67,446,160,9
169,West Ham,38,12,9,17,45,47,64,496,138,10
170,West Brom,38,12,9,17,45,43,51,400,123,11
171,Stoke,38,11,11,16,44,41,56,426,137,12
172,Leicester,38,12,8,18,44,48,63,432,145,13
173,Crystal Palace,38,12,5,21,41,50,63,438,138,14
174,Swansea,38,12,5,21,41,45,70,390,146,15
175,Watford,38,11,7,20,40,40,68,419,144,16
176,Burnley,38,11,7,20,40,39,55,390,120,17
177,Hull,38,9,7,22,34,37,80,396,127,18
178,Middlesbrough,38,5,13,20,28,27,53,349,100,19
179,Sunderland,38,6,6,26,24,29,69,387,121,20
180,Man City,38,32,4,2,100,106,27,664,261,1
181,Man United,38,25,6,7,81,68,28,513,181,2
182,Tottenham,38,23,8,7,77,74,36,622,217,3
183,Liverpool,38,21,12,5,75,84,38,640,233,4
184,Chelsea,38,21,7,10,70,62,38,606,220,5
185,Arsenal,38,19,6,13,63,74,51,591,233,6
186,Burnley,38,14,12,12,54,36,39,379,127,7
187,Everton,38,13,10,15,49,44,58,360,122,8
188,Leicester,38,12,11,15,47,56,60,422,148,9
189,Crystal Palace,38,11,11,16,44,45,55,475,151,10
190,Newcastle,38,12,8,18,44,39,47,449,150,11
191,Bournemouth,38,11,11,16,44,45,61,466,157,12
192,West Ham,38,10,12,16,42,48,68,373,133,13
193,Watford,38,11,8,19,41,44,64,440,132,14
194,Brighton,38,9,13,16,40,34,54,383,118,15
195,Huddersfield,38,9,10,19,37,28,58,360,111,16
196,Southampton,38,7,15,16,36,37,56,451,145,17
197,Stoke,38,7,12,19,33,35,68,382,131,18
198,Swansea,38,8,9,21,33,28,56,336,104,19
199,West Brom,38,6,13,19,31,31,56,375,114,20
